Name of Enslaved Person (Transcribe what is listed),Age listed for Enslaved Person,Freed Age,Assumed Gender of Enslaved Person,Page Number,Image Name (A001870XX_XXX),Date (YYYY-MM-DD),"Place (Township, County, etc)",State,"Transcribed - Name of Slaveholder (Last name, First name)","Unabbreviated - Name of Slaveholder (Last name, First name)",Assumed Gender of Slaveholder,"Transcribed - Witnesses (Last name, First name)","Unabbreviated - Witnesses (ex: ""Sealed and delivered in the Presence of..."") (Last name, First name)",Monthly Meeting,"Transcribed - Monthly Meeting Clerk (Last Name, First Name)","Unabbreviated - Clerk (Last name, First name)",Notes,Indexer initials,Checker initials
"This field corresponds to name of the enslaved person listed in the manumission, likely as the slaveholder listed it. If multiple spellings are given, include alternate spellings in parenthesis (e.g. ""Dafney (Daphne)"")","This field corresponds to the listed age of the enslaved person at the time of the signing of the manumission, likely as the slaveholder listed it","This field corresponds to the age of the enslaved person at which the manumission is listed to go into effect, the age at which their freedom is listed to be granted",This field corresponds to the gender of the enslaved person that the metadata collectors assumed when reading the manumission.,"This field corresponds to the page number listed on the physical document (manumission), corresponding to the page in the book of manumissions compiled by Quaker Meeting scribes","This field corresponds to the image name created for the scan of the manumission. If multiples pages, separate with a semicolon ;",This field corresponds to the day the manumission was signed by the slaveholder,"This field corresponds to the location listed in the manumission. Correct misspellings (e.g. ""Bibery"" --> Byberry""","This field corresponds to the state listed in the manumission. Correct misspellings (e.g. ""Bibery"" --> Byberry""","This field corresponds to the name of the slaveholder doing the manumitting, as transcribed, on the manumission. If there are multiple people, separate with a semicolon ;","This field corresponds to the unabbreviated, expanded, name of the slaveholder doing the manumitting on the manumission, as determined by metadata collectors (see https://en.wiktionary.org/wiki/Appendix:Abbreviations_for_English_given_names)",This field corresponds to the gender of the slaveholder that metadata collectors assumed when reading the manumission. Genders are assumed by pronouns listed in the manumission and common genders associated with the name listed.,"This field corresponds to names listed in the manumissions under the caveat of ""sealed and delivered in the presence of."" Names are transcribed as they are written in the manumission. Separate multiple names with a semicolon ;","This field corresponds to the unabbreviated, expanded, names listed on the manumission under the caveat of ""sealed and delivered in the presence of."" Unabbreviated names are determined by the metadata collectors",This field corresponds to the name of the Quaker Monthly Meeting that the slaveholder was a part of,This field corresponds to name of the scribe who created the summary of the manumission on the verso of the corresponding manumission. Names are transcribed as they are written in the manumission.,"This field corresponds to the unabbreviated, expanded, name of the scribe listed on the verso of the corresponding manumission, as determined by metadata collectors (see https://en.wiktionary.org/wiki/Appendix:Abbreviations_for_English_given_names)",,,
Cudgjo,100,100,male,386,A00187014_001,1776-03-08,Northampton,PA,"Plumly, John",,male,"Waln, Nicholas;
Plumly, William",,Middletown,,,,WGC,
Ishmael,52,52,male,388,A00187014_002,1776-03-08,Northampton,PA,"Plumly, John",,male,"Waln, Nicholas;
Plumly, William",,Middletown,,,,WGC,
Joseph,66,66,male,389,A00187014_003,1776-03-08,Middletown,PA,"Richardson,
Joshua",,male,"Waln, Nicholas;
Richardson,
William",,Middletown,,,,WGC,
Joseph Davenport,22,22,male,390,A00187014_004,1776-03-08,Middletown,PA,"Richardson,
Joshua",,male,"Waln, Nicholas;
Richardson,
William",,Middletown,,,"joseph is described as mulatto

note at the bottom of the document says: Joseph
was born into the family of Jonas Preston who is
Joshua Richarson's father in law",WGC,
Matillo,?,time of manumission,female,403,A00187014_005,1776-07-27,Middletown,PA,"Paxton, William;
Paxton, Joseph;
Paxton, Mahlon",,male,"Moon, James;
Blakey, Wm.","Blakey, William",Middletown,,,"no exact age listed for enslaved person but described
as antient so enslavers agree to support her as a free
woman",WGC,
James,53,53,male,413,A00187014_006,1777-09-24,Middletown,PA,"Jenks, John",,male,"Stapler, Thomas;
Richardson, William",,Middletown,,,,WGC,
Ishmael,55,55,male,416,A00187014_007,1777-08-03,Middletown,PA,"Stackhouse, Isaac",,male,"Richardson, William;
Paxson, Johnathan",,Middletown,,,,WGC,
Sophia,25 or 26,25 or 26,female,417,A00187014_007,1777-10-31,Northampton,PA,"Thornton, Joseph",,male,"Stapler, Thomas;
Richardson, William;
Wilson, Thomas;
Richardon, William",,Middletown,,,Sophia is the mother of Rebekah,WGC,
Rebekah,7 months,7 months,female,417,A00187014_007,1777-10-31,Northampton,PA,"Thornton, Joseph",,male,"Stapler, Thomas;
Richardson, William;
Wilson, Thomas;
Richardon, William",,Middletown,,,Daughter of Sophia,,
Prince,32,32,male,420,A00187014_008,1777-11-25,Southampton,PA,"Willet, Jonth.","Willet, Johnathan",male,"Blakey, William;
Mitchell, Sarah",,Middletown,,,,WGC,
,,,,,,,,,,,,,,,,,,WGC,
,,,,,,,,,,,,,,,,,,WGC,
,,,,,,,,,,,,,,,,,,WGC,
